trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
0,4,287.28645372390747,00:04:47,93351,454,0.007336130831390619,0.00792992115020752,2.9600780840572902,4,0.0006568758283924752,68,505,199,178,94,180,16
1,4,290.06391429901123,00:04:50,117069,902,0.005960048176348209,0.006987010594457388,2.795533063787413,4,0.0004364366196980351,164,906,226,208,64,241,70
2,4,87.90159249305725,00:01:27,53936,346,0.013221098110079765,0.011996307410299778,3.9625831634213755,2,0.00845278915769087,229,350,196,152,22
3,4,128.366516828537,00:02:08,80060,228,0.011254296638071537,0.011072993278503418,3.615174032821829,2,0.0035271784734214463,74,240,243,162,91
4,4,241.22948360443115,00:04:01,134078,797,0.013104675337672234,0.0131683936342597,3.9745250929190084,4,0.008264276981933745,201,814,135,97,232,189,208
5,4,110.95901870727539,00:01:50,7415,310,0.016446921974420547,0.017209840938448906,5.124788714853215,1,0.0021193348017315744,127,323,20,231
6,4,548.2880671024323,00:09:08,48287,740,0.015538749285042286,0.014266821555793285,4.299116275628269,1,0.005402397520216301,53,819,177,165
7,4,406.47171211242676,00:06:46,64901,767,0.007209585048258305,0.008026132360100746,3.110603988518724,2,0.0016186202520500946,84,907,136,207,106
8,4,132.45938682556152,00:02:12,15944,438,0.012467717751860619,0.012270373292267323,4.045169846985347,3,0.0017019644652210729,244,519,61,48,40,107
9,4,307.8823239803314,00:05:07,17522,931,0.014156036078929901,0.013516605831682682,3.935990993613112,1,0.0061485100185074285,137,977,142,18
10,4,411.9942548274994,00:06:51,176870,1309,0.0055188508704304695,0.0068875947035849094,2.9871086808908127,3,0.00016653150815865132,176,1432,254,252,168,254
11,4,240.79475164413452,00:04:00,99220,608,0.007284906227141619,0.007911412976682186,3.2253854222613167,4,0.000410704425219671,115,619,210,195,78,211,19
12,4,365.9147882461548,00:06:05,92416,1071,0.006605606060475111,0.007327275816351175,3.042140630070378,4,0.0006230091436372248,167,1184,216,110,151,164,25
13,4,477.96315002441406,00:07:57,65619,543,0.007289900444447994,0.008004574105143547,3.038764274697623,3,0.00032336314930677426,41,579,171,193,63,34
14,4,484.89728569984436,00:08:04,84036,1056,0.006827552802860737,0.008098768070340157,3.019729852819851,4,0.00015059310650157503,96,1106,85,120,119,247,83
15,4,219.70375514030457,00:03:39,99436,693,0.006628046743571758,0.0075615267269313335,3.0850997591610523,3,0.0008116214197498492,166,705,230,229,62,125
16,4,353.7986078262329,00:05:53,141359,1184,0.0070747802965343,0.0071817319840192795,3.1859529390489945,4,0.0002560909455500922,206,1270,172,181,182,204,104
17,4,200.7901327610016,00:03:20,76348,410,0.007991189137101173,0.00854470394551754,3.4273549526641602,4,0.0005737673141343479,105,464,195,79,121,158,71
18,4,315.6617181301117,00:05:15,103087,894,0.005714436527341604,0.007331427652388811,3.0742420700609303,3,0.0009923785293591027,149,998,228,140,211,81
19,4,434.2415781021118,00:07:14,99240,642,0.007450591307133436,0.008228338323533535,3.3421315870258645,4,0.00023228023016290132,61,711,116,255,42,230,157
20,4,134.63232016563416,00:02:14,121918,422,0.008382055908441544,0.009576302021741867,3.483335487386329,3,0.00010149579041920268,188,424,193,229,140,175
21,4,425.49779748916626,00:07:05,178329,1424,0.005406786687672138,0.0067144217900931835,2.671108112711335,3,0.00015712513651553185,164,1462,250,252,173,256
22,4,443.80123567581177,00:07:23,184449,1361,0.00469793239608407,0.006496484857052565,2.6612720405449366,4,0.00043709383949272577,153,1373,256,222,193,233,52
23,4,441.44851064682007,00:07:21,167909,1389,0.004605855327099562,0.006422270089387894,2.7788914623007517,3,0.0004197740912201641,151,1408,252,213,197,227
24,4,485.5560097694397,00:08:05,137673,1340,0.006367146503180265,0.00737839937210083,3.035151739081245,2,0.00010656762409952377,136,1486,256,239,204
25,4,422.0708646774292,00:07:02,186649,1337,0.0052279154770076275,0.006575713865458965,2.741994245274333,3,0.0002257895179609373,149,1339,243,213,250,220
26,4,337.7091438770294,00:05:37,182508,1223,0.005831154994666576,0.0066720773465931416,2.78719786689338,3,0.00018603136309197662,215,1315,231,216,250,213
27,4,351.14768648147583,00:05:51,147409,1256,0.005728647578507662,0.0067282188683748245,3.0602491516648525,2,0.0002653339760732915,188,1329,243,253,235
28,4,419.0565526485443,00:06:59,159647,1110,0.0061890254728496075,0.00716182729229331,3.0563833547672288,3,0.00014037456673382428,123,1176,221,241,165,256
29,4,456.338374376297,00:07:36,149488,1253,0.005555629264563322,0.0066327680833637714,2.822198966623074,3,0.0003283258203774371,156,1498,159,181,256,221
30,4,380.13955307006836,00:06:20,104717,1372,0.006473145447671413,0.007512134034186602,2.816153977410162,2,0.00019892891941257566,179,1374,205,191,226
31,4,450.14708065986633,00:07:30,166131,1336,0.005110583268105984,0.006625706795603037,2.9021999562465557,3,0.0004627415376953076,148,1397,243,214,198,228
32,4,379.9876494407654,00:06:19,161363,1146,0.0053829411044716835,0.006690002512186766,3.085525520970006,3,0.0003130930670568225,154,1234,254,221,186,196
33,4,409.2721107006073,00:06:49,170003,1040,0.0055824872106313705,0.006909218151122332,2.9158027665697217,3,0.00045203386366592953,116,1090,239,203,218,234
34,4,444.50412940979004,00:07:24,120932,1378,0.004942440427839756,0.006729088257998228,2.6874104374335475,2,0.0007830716098541788,138,1428,216,240,190
35,4,414.2158670425415,00:06:54,114205,1286,0.0052892607636749744,0.006585598457604647,2.8711959006794148,2,0.000860691287654128,136,1298,214,244,159
36,4,557.3882350921631,00:09:17,80223,1405,0.0054224650375545025,0.00693906657397747,2.8968280850553803,2,0.0011220661325856054,100,1446,184,164,183
37,4,320.4178795814514,00:05:20,80230,1205,0.005867463536560535,0.00719641987234354,2.7482876610583045,1,0.0013496114416005614,175,1215,236,232
38,4,357.78309988975525,00:05:57,78341,1355,0.006992354057729244,0.007896906696259975,2.849162626493526,2,0.0032064385063930194,190,1355,220,151,142
39,4,302.0297076702118,00:05:02,180792,1083,0.007038793060928583,0.007185824681073427,3.243388153829706,4,0.00012504927929757632,218,1119,199,223,244,156,141
40,4,340.5419600009918,00:05:40,55835,966,0.008078176528215408,0.008926106616854668,3.651822826136905,2,0.0005881846531863317,126,1029,36,204,215
