trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3
0,10,236.78252744674683,00:03:56,44170,718,0.00852737296372652,0.010091222822666168,3.427230188930067,2,0.0002939045261666999,138,740,97,224,53
1,10,94.08383297920227,00:01:34,57687,259,0.011874284595251083,0.011721580289304256,3.749620221265829,1,0.0038432585251710286,133,283,247,127
2,10,324.51993131637573,00:05:24,36116,1126,0.008255579508841038,0.009409734979271889,3.2196289663623974,3,0.00028173501789823246,225,1316,164,26,52,240
3,10,61.181530237197876,00:01:01,5567,223,0.024046948179602623,0.02356122061610222,6.243187675274646,1,0.0054483246281834055,210,233,37,42
4,10,74.27257633209229,00:01:14,88945,232,0.010436764918267727,0.010349332354962826,3.7369012434795934,4,0.0009960280184075697,208,233,255,171,35,153,44
5,10,184.51660132408142,00:03:04,57947,591,0.008555063977837563,0.00982923898845911,3.3952933183054244,2,0.004269042331652932,203,707,130,165,135
6,10,255.1746428012848,00:04:15,8967,1128,0.012272952124476433,0.013199073262512684,4.282289194409655,1,0.0019098260318857069,241,1146,55,55
7,10,166.9989356994629,00:02:46,83449,537,0.007999680005013943,0.009484050795435905,3.9252370659273597,4,0.0003164755924915564,180,548,107,97,178,150,114
8,10,1111.7571856975555,00:18:31,39671,1209,0.009020158089697361,0.009536219760775566,3.5162207824196896,1,0.0017882248484863562,39,1343,193,99
9,10,239.73438906669617,00:03:59,16883,732,0.015140574425458908,0.017215421423316002,4.593150791696589,3,0.00016966465672402315,146,732,17,109,99,22
10,10,651.7508714199066,00:10:51,90199,1406,0.006707270164042711,0.008273817598819733,3.2965443808359653,3,0.0001087729029625921,84,1426,180,28,233,252
11,10,918.4032752513885,00:15:18,89469,1410,0.006870063487440348,0.008538585156202316,3.152087482073382,3,0.00013826955858675967,54,1413,177,16,252,250
12,10,937.3042736053467,00:15:37,89810,1079,0.006457562558352947,0.00802820548415184,3.131712037716814,3,0.0004896278346268111,40,1116,183,17,248,251
13,10,873.3322191238403,00:14:33,103134,1056,0.005939994938671589,0.007413881830871105,3.031713624197109,3,0.0006573206679545621,41,1064,193,70,247,207
14,10,491.62806224823,00:08:11,137425,1054,0.00587365822866559,0.007606427650898695,2.94792533757778,4,0.0007250798556057966,85,1056,208,66,203,197,240
15,10,441.5663981437683,00:07:21,140715,837,0.006566910073161125,0.008040226064622402,3.643934132920479,4,0.001043172998801303,94,1020,219,73,193,196,248
16,10,462.5295684337616,00:07:42,141508,935,0.006053598131984472,0.007888677529990673,3.163470486714094,4,0.0007027276604852874,80,954,216,73,200,193,252
17,10,419.1224603652954,00:06:59,35437,1039,0.007952126674354076,0.008917487226426601,3.421686312161971,2,0.002208814429731527,112,1193,140,68,157
