trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
0,8,338.7595798969269,00:05:38,135613,1049,0.00633378466591239,0.007177148479968309,2.747282758810187,4,0.0003311583126508341,243,1350,148,210,215,105,192
1,8,233.24256563186646,00:03:53,54039,599,0.008497492410242558,0.00915471464395523,3.5325873356210806,1,0.0005849817697334452,104,622,155,239
2,8,176.64606547355652,00:02:56,26571,776,0.010649616830050945,0.011321515776216984,3.54086999730833,1,0.005632102024487977,256,823,140,83
3,8,150.0199375152588,00:02:30,86378,462,0.008550889790058136,0.008871415629982948,3.4635493181435266,4,0.0022806732304605777,188,506,253,109,72,169,69
4,8,375.21727895736694,00:06:15,137918,1416,0.004973519593477249,0.006765803787857294,2.7835719616006873,3,0.0015061496659262124,208,1420,161,211,252,131
5,8,1040.5256645679474,00:17:20,60025,822,0.008079671300947666,0.008214163593947887,3.1412671603513656,3,0.0013933411204698773,32,1031,129,39,229,139
6,8,447.17964792251587,00:07:27,40108,955,0.00792020559310913,0.008875316940248013,3.112907015915702,4,0.0002735799026111333,85,961,208,21,110,87,20
7,8,409.82659792900085,00:06:49,56696,1140,0.0071778204292058945,0.007452997379004955,2.9514512934028705,2,0.0021723034120677796,141,1333,113,236,75
8,8,376.3787784576416,00:06:16,25991,1372,0.008110609836876392,0.009148933924734592,3.1430771251309437,1,0.0016608746951881112,168,1404,189,32
9,8,212.76024794578552,00:03:32,137519,519,0.006807413417845964,0.007389153819531202,3.0352464423306182,2,0.0007266662028670604,108,558,244,225,249
10,8,70.37666368484497,00:01:10,54134,255,0.0158720463514328,0.01761554554104805,4.45436437643947,4,0.00011231664985602975,237,258,44,172,164,32,232
11,8,300.1551594734192,00:05:00,99588,1142,0.006630221847444773,0.007934625260531902,3.011371977190559,3,0.00028010991894846757,219,1210,76,176,192,226
12,8,383.0292282104492,00:06:23,104739,1171,0.009386081248521805,0.009517735801637173,3.4091668244831927,3,0.007021530857907633,204,1476,175,177,205,90
13,8,281.82859468460083,00:04:41,124027,1058,0.0061166295781731606,0.007544779684394598,3.1010496011222477,4,0.0003892971884962199,253,1177,92,204,252,95,201
14,8,340.83588004112244,00:05:40,60797,1181,0.007475420832633972,0.008974449709057808,3.019626065188717,3,0.00012867015161947744,176,1211,218,141,20,182
15,8,350.64494466781616,00:05:50,86994,1464,0.00692452909424901,0.007842720486223698,3.023444589381222,2,0.003579187007400188,219,1465,172,196,176
16,8,261.1631271839142,00:04:21,77972,794,0.007716895546764135,0.008581033907830715,3.170029456135336,4,0.0010323856767080416,151,798,19,255,221,38,143
17,8,270.91662645339966,00:04:30,64841,1064,0.006965090520679951,0.008475858718156815,3.029853577125044,3,0.00020276348379784148,204,1066,102,142,146,125
18,8,334.21011900901794,00:05:34,141361,1192,0.005748043302446604,0.006574059836566448,2.7397401267858887,4,0.0005596550747989034,232,1305,149,201,219,136,154
19,8,322.75218534469604,00:05:22,88878,1185,0.006477267015725374,0.00793802086263895,3.0896827096369233,4,0.0005317960343153058,234,1294,65,113,126,206,163
20,8,313.50978088378906,00:05:13,96336,908,0.006671682931482792,0.007931085303425789,2.8682751009907443,4,0.0001980283042809494,138,934,133,163,198,73,178
21,8,322.1199140548706,00:05:22,130928,1265,0.0052382973954081535,0.006725986022502184,2.6892468375591725,3,0.0009120691637332098,231,1342,159,206,233,140
22,8,279.63702940940857,00:04:39,180190,965,0.005878976080566645,0.006920815445482731,3.0135673707862365,4,0.0007941606454924151,237,1118,201,194,222,159,254
23,8,344.3796932697296,00:05:44,119665,1269,0.00615889485925436,0.00695248506963253,2.850799853935923,3,0.0004128998132997165,194,1315,148,256,175,118
24,8,333.73683762550354,00:05:33,137995,911,0.007602369878441095,0.00814338680356741,3.9322825531247365,4,0.000841993043418086,227,1282,118,222,227,149,96
25,8,295.25340127944946,00:04:55,93443,1252,0.006021660286933184,0.0071162208914756775,2.8881959117917013,2,0.0003898687721996702,246,1350,182,192,201
26,8,410.9924364089966,00:06:50,92375,1464,0.004989509470760822,0.006712037138640881,2.7666272035167596,3,0.0011681456582192092,183,1500,221,157,153,65
