27,8,351.5971472263336,00:05:51,143955,946,0.005526829976588488,0.006826617754995823,2.746155739548445,4,0.000543691406817688,161,1129,161,216,235,114,121
28,8,342.9299566745758,00:05:42,170234,1068,0.0058080232702195644,0.007088785991072655,2.899422180471962,4,0.0005205136799002774,162,1123,166,226,237,182,97
29,8,485.24505615234375,00:08:05,130253,785,0.007358263246715069,0.007669082842767239,2.9227509933174955,4,0.002435033786566693,74,944,190,121,185,210,120
30,8,433.4078116416931,00:07:13,77006,1169,0.006689512170851231,0.007926945574581623,3.0499727328697928,3,0.0001923893094744668,117,1218,149,86,237,116
31,8,187.23507404327393,00:03:07,136098,651,0.006972122006118298,0.007890953682363033,3.406564054545856,4,0.0005934201789530335,219,704,151,212,213,108,176
32,8,331.7959179878235,00:05:31,156429,1323,0.005406387150287628,0.006998404860496521,2.815322741994346,4,0.0006600850170579493,252,1383,131,236,212,142,214
33,8,333.1896734237671,00:05:33,136758,1191,0.005573701579123735,0.006767937447875738,2.8686892910765467,4,0.0003093596229700954,199,1255,158,186,256,106,142
34,8,352.7198088169098,00:05:52,43961,1066,0.0076655116863548756,0.008897246792912483,3.1435293362163144,1,0.0004893764371137254,126,1110,138,209
35,8,255.16013622283936,00:04:15,110513,976,0.006054386030882597,0.006985735148191452,2.8145218131358254,3,0.0009290931390987342,215,1031,117,239,236,56
36,8,1410.2845087051392,00:23:30,142002,1337,0.006118366494774818,0.00700410408899188,2.759893376756865,4,0.0013245113924474966,33,1398,158,217,188,162,117
37,8,287.1279809474945,00:04:47,121537,1086,0.006714146584272385,0.007877369411289692,2.8511386392043456,4,0.00036303041291988787,242,1158,92,159,239,133,198
38,8,229.3726978302002,00:03:49,101641,989,0.006801199167966843,0.008153661154210567,2.8833484476584896,3,0.00015616433281245897,255,1005,202,203,101,179
39,8,163.1349973678589,00:02:43,116665,290,0.009388294070959091,0.009432761929929256,3.6804709689986455,2,0.001872823314251108,75,327,180,244,217
40,8,225.88967442512512,00:03:45,31009,798,0.00944142322987318,0.010453490540385246,3.260341720981999,3,0.00022999024689660915,186,818,125,81,31,151
41,8,948.7318224906921,00:15:48,143166,1331,0.005411441903561354,0.0069514974020421505,2.7620117973757923,4,0.0012452704969818905,54,1416,162,217,186,163,119
42,8,1044.1854379177094,00:17:24,188201,1337,0.008866222575306892,0.008279046043753624,3.1436118912503628,4,0.0036816228970453207,46,1383,144,228,207,256,152
43,8,577.4988601207733,00:09:37,133542,1269,0.0055344728752970695,0.006802448071539402,2.941227765149719,4,0.0014084096000833702,94,1329,163,184,229,135,93
44,8,364.0384509563446,00:06:04,150392,1123,0.006477278657257557,0.006670147180557251,3.060742643960552,4,0.0006664770336038402,229,1437,189,214,242,103,121
45,8,361.9346709251404,00:06:01,98342,1161,0.0059646256268024445,0.0072786458767950535,2.9315895088987016,4,0.0010501613677167416,166,1232,107,170,169,168,66
46,8,564.1269588470459,00:09:24,110787,1080,0.0055735609494149685,0.006708687171339989,2.910530776901373,4,0.0007673563378408232,100,1372,139,201,193,78,172
47,8,397.50256180763245,00:06:37,168276,1229,0.005242328625172377,0.00680852634832263,2.7692775574012867,4,0.00045752486785489716,153,1281,172,244,256,116,130
48,8,445.41585898399353,00:07:25,53270,1330,0.007933905348181725,0.008650949224829674,3.4690882801118024,1,0.0026268334493739806,131,1449,156,232
49,8,292.4546592235565,00:04:52,104688,1016,0.006337183061987162,0.007954398170113564,2.998269950922218,3,0.0003420227344164993,213,1172,123,184,207,146
50,8,256.72906160354614,00:04:16,140359,882,0.00631958432495594,0.007191806565970182,2.8393318522735416,4,0.0016806671140708134,224,886,238,204,159,95,192
51,8,1292.5494573116302,00:21:32,144677,1379,0.00589500879868865,0.0073547069914639,3.1710025556403307,4,0.0013783522865459703,38,1407,168,219,186,162,114
52,8,936.0975918769836,00:15:36,131086,1332,0.005319961346685886,0.00696260342374444,2.8105935773871815,4,0.0011778628374184853,57,1439,161,217,186,128,111
53,8,911.0456249713898,00:15:11,152547,1296,0.004884334281086922,0.006729371380060911,2.8077198696707963,4,0.0005974428703511306,57,1338,184,245,133,190,154
54,8,1605.3076696395874,00:26:45,133548,1456,0.004627556074410677,0.006559713277965784,2.5874151105308534,4,0.0002563818379321749,32,1492,139,191,226,162,73
55,8,1337.2372617721558,00:22:17,130923,1328,0.004896350670605898,0.006500189192593098,2.825532986289191,4,0.00026080036432961904,38,1470,142,176,246,154,59
56,8,784.1885824203491,00:13:04,121362,1196,0.005106828641146421,0.006769075989723206,2.744450480871077,4,0.00025963541326349084,64,1309,132,193,224,139,50
57,8,676.0507671833038,00:11:16,104877,1172,0.005666130222380161,0.006702086888253689,2.868887602521614,3,0.0002984056310674165,69,1266,108,193,229,121
58,8,631.0370585918427,00:10:31,107710,1271,0.006322136614471674,0.007379835471510887,2.7744318166992574,4,0.00010179050172424933,89,1306,130,165,222,137,36
59,8,377.1919479370117,00:06:17,79895,1388,0.006921448744833469,0.008769961073994637,2.970940687146477,3,0.00016656278373913152,244,1494,84,150,245,86
60,8,383.92375016212463,00:06:23,101391,1162,0.006462361663579941,0.007706308737397194,3.2062488175277153,4,0.00024718377344699953,177,1193,99,187,227,106,50
61,8,1026.9729149341583,00:17:06,136270,1086,0.0050629982724785805,0.006727445404976606,2.814350242345894,4,0.00044908474846044487,47,1341,147,208,200,174,75
62,8,1292.9194502830505,00:21:32,126239,1188,0.0047505577094852924,0.006419875659048557,2.7614038468234066,4,0.0003195949118651209,33,1244,154,200,215,143,34
63,8,845.7007188796997,00:14:05,138528,1378,0.005026098806411028,0.006824619136750698,2.944218141771944,4,0.0008784067538801278,62,1384,136,227,232,127,82
64,8,885.3928418159485,00:14:45,134136,971,0.018611887469887733,0.01732107251882553,4.543860337829921,4,0.009336207289710444,45,1089,178,196,220,156,16
65,8,301.3735065460205,00:05:01,91064,744,0.006874121725559235,0.007955134846270084,2.9612788255275593,4,0.00015252772099802985,114,751,123,128,206,140,47
66,8,326.9819059371948,00:05:26,89053,1243,0.006327388808131218,0.007138332352042198,2.7235918928536824,2,0.0005282936425686838,206,1295,154,179,248
67,8,301.854478597641,00:05:01,87848,1294,0.006038834806531668,0.007533993571996689,2.8515889269191708,2,0.00039658900713436887,236,1297,149,180,247
68,8,295.5966577529907,00:04:55,77677,1148,0.006281889509409666,0.007595325820147991,2.8768115959612794,2,0.0005407992106719833,207,1161,134,170,235
69,8,118.42306566238403,00:01:58,82594,458,0.008664625696837902,0.010253097862005234,3.5100935637173594,2,0.0002185443152212645,200,460,170,152,250
70,8,295.30376958847046,00:04:55,34085,1297,0.008354349061846733,0.009916586801409721,3.5640541703188764,1,0.00028026310964581597,229,1352,114,189
71,8,318.34004068374634,00:05:18,98269,1348,0.005935541819781065,0.007112470455467701,3.0762410679409378,2,0.00044507546016540753,245,1411,155,214,224
72,8,1528.222111940384,00:25:28,154029,1319,0.005438827443867922,0.007014159113168716,3.090762834413259,4,0.0010150672392782094,33,1461,141,207,214,186,134
73,8,348.8097105026245,00:05:48,94611,1224,0.0058284904807806015,0.006919589824974537,2.8650522863653007,4,0.0006401550088689763,213,1232,165,199,195,18,82
74,8,440.7116446495056,00:07:20,157369,1096,0.005727976560592651,0.0066805025562644005,2.756203325753268,3,0.0007835523128080404,148,1299,174,221,240,194
75,8,454.47882986068726,00:07:34,170470,1203,0.005292138550430536,0.0065079340711236,2.682446623491933,3,0.0007149973849359517,146,1292,193,231,242,201
76,8,344.60065603256226,00:05:44,107843,1181,0.006012304686009884,0.00674449885264039,2.816426571806939,3,0.0005247517896557508,191,1205,218,250,63,218
77,8,475.23781728744507,00:07:55,177863,1077,0.005353615619242191,0.006656844634562731,2.700524513585694,3,0.0007093618723941486,138,1351,196,234,256,197
78,8,395.31444811820984,00:06:35,186506,1116,0.005012168549001217,0.006559219677001238,2.833206018813731,3,0.00073511731685792,141,1144,210,234,246,230
79,8,400.2280206680298,00:06:40,96906,1253,0.005727730691432953,0.007021041586995125,2.7957035763069795,3,0.0006558936933761767,158,1259,196,53,256,201
80,8,498.27574849128723,00:08:18,182333,1125,0.004998034331947565,0.00639142282307148,2.7338172437624584,3,0.0008961071038277903,132,1365,225,228,232,230
81,8,486.1991286277771,00:08:06,186636,1235,0.004996223840862513,0.006747003179043531,2.869114390378437,3,0.0008278478473903511,125,1356,233,228,233,235
82,8,408.32334184646606,00:06:48,191779,1282,0.004798108711838722,0.006688544526696205,2.734049795523398,3,0.0009706812011505817,177,1319,228,233,240,240
83,8,430.85751605033875,00:07:10,194950,1248,0.004866629373282194,0.006678533274680376,2.9785628233129304,3,0.0009649959818720326,170,1312,223,236,251,233
84,8,498.2810070514679,00:08:18,205417,1311,0.005193694960325956,0.006636591628193855,2.871743098955846,3,0.0011116123806330792,131,1371,225,256,242,252
85,8,388.42760133743286,00:06:28,189441,1137,0.005033558700233698,0.006486227735877037,2.7313476046226706,3,0.0006912261248623237,180,1279,255,223,225,242
86,8,423.252393245697,00:07:03,207668,1426,0.00454120384529233,0.0064296843484044075,3.000138813764419,3,0.0009081277950949909,183,1428,251,249,240,241
87,8,469.26328587532043,00:07:49,185751,1191,0.004873666446655989,0.006164296064525843,2.647365306534496,3,0.000710865206383385,173,1497,251,223,232,218
88,8,462.40447545051575,00:07:42,194241,1347,0.00471458351239562,0.00619310699403286,3.124642730376896,3,0.000694203109324059,175,1479,249,241,232,220
89,8,455.2962248325348,00:07:35,131109,1366,0.005418464075773954,0.006683524698019028,2.7625570466446576,3,0.0015500851915156181,157,1438,242,225,107,244
90,8,431.2823123931885,00:07:11,190449,1433,0.005183417350053787,0.006561575923115015,2.6805280199721806,3,0.0005937025908794724,198,1487,231,233,250,212
91,8,441.36512422561646,00:07:21,199599,1407,0.004815960302948952,0.006600742693990469,2.592201109615841,3,0.000613919775355504,198,1500,256,232,251,215
92,8,426.3481476306915,00:07:06,191558,1213,0.005212600342929363,0.006701027043163776,2.6559589153867673,3,0.0005976782158863793,195,1460,245,222,256,209
93,8,435.18119263648987,00:07:15,191357,1415,0.004655337426811457,0.006597733590751886,2.688601301044382,3,0.0005904080693776027,196,1491,246,222,253,212
94,8,434.0617537498474,00:07:14,184893,1445,0.004905890207737684,0.006398588884621859,2.7321030307228416,3,0.0005657076973455067,195,1485,244,210,254,211
95,8,418.636834859848,00:06:58,192230,1369,0.005166024435311556,0.006349724251776934,2.74606143655992,3,0.0006193541534214263,201,1462,235,240,249,202
96,8,446.68388199806213,00:07:26,198391,1388,0.004717338364571333,0.00646713562309742,2.8148038913354108,3,0.0004899265170992769,191,1497,256,231,250,214
97,8,399.52323508262634,00:06:39,198536,1307,0.004799769725650549,0.006524872500449419,2.6197739201642687,3,0.0003627181383185279,208,1403,247,250,245,198
98,8,420.3866138458252,00:07:00,203667,1416,0.004737022798508406,0.006397178862243891,2.7493370149948904,3,0.0003548585369035442,187,1417,249,250,256,196
99,8,435.53633189201355,00:07:15,190969,1400,0.004709840286523104,0.006275071296840906,2.817870883942094,3,0.00042920565904010075,195,1449,214,245,245,224
100,8,380.4012441635132,00:06:20,190219,1134,0.005271806847304106,0.006636473815888166,2.6466053751542145,3,0.0007764624502847454,221,1393,244,238,238,205
101,8,388.47159361839294,00:06:28,191208,1383,0.0047080498188734055,0.006344849709421396,2.6445617998791526,3,0.0007603144697383054,218,1402,243,238,241,205
102,8,387.8435266017914,00:06:27,180844,1396,0.005067422520369291,0.006766661070287228,2.769477445522138,3,0.0008108148377441882,219,1402,241,220,237,208
103,8,394.27583146095276,00:06:34,194841,1456,0.004750166554003954,0.006187188904732466,2.989000152554728,3,0.00047133309661862835,225,1470,231,252,244,204
104,8,417.41081714630127,00:06:57,188432,1322,0.0050522456876933575,0.00639280304312706,2.6829887555164094,3,0.0005908241093276973,210,1500,245,238,228,215
105,8,433.9624629020691,00:07:13,191498,1440,0.004592991899698973,0.006426253821700811,2.686578423083069,3,0.000572067876494871,211,1491,247,243,228,215
106,8,410.6018400192261,00:06:50,190332,1235,0.0053599136881530285,0.006450209300965071,3.0357706570717937,3,0.00037136455103707063,209,1439,239,244,227,222
107,8,390.71414065361023,00:06:30,183091,1354,0.004886035807430744,0.006317690946161747,2.6510544671264302,3,0.0007442704453004712,222,1394,248,240,211,217
108,8,383.74015831947327,00:06:23,185917,1378,0.00580119201913476,0.006417818367481232,3.2542299783644255,3,0.0007337818685074068,223,1393,252,248,219,190
109,8,392.9576606750488,00:06:32,181163,1387,0.004865242168307304,0.006875329185277224,2.648371114684209,3,0.000805786023988336,217,1418,239,238,236,178
110,8,390.1107397079468,00:06:30,180551,1082,0.005877802148461342,0.006580212153494358,2.872824445631575,3,0.0010848762956211478,219,1433,236,238,237,178
111,8,400.0251474380493,00:06:40,174099,1339,0.004876840393990278,0.006837525404989719,2.816266729509711,3,0.0007778306255504213,203,1458,230,240,211,204
112,8,372.4965672492981,00:06:12,187889,1388,0.004832410719245672,0.006581371650099754,2.705565342011136,3,0.0008428285352757987,233,1403,256,231,243,184
113,8,402.0114951133728,00:06:42,192135,1371,0.004754261113703251,0.006760324351489544,3.471785008789473,3,0.0006634311546265379,218,1386,243,237,233,226
114,8,412.804080247879,00:06:52,188635,1408,0.005426197312772274,0.006717394106090069,2.596919322096864,3,0.0006139641595590022,240,1422,238,256,219,208
115,8,404.6526174545288,00:06:44,184057,1419,0.004838698543608189,0.006607700139284134,2.615774505597786,3,0.0004949155965036227,250,1427,238,247,218,208
116,8,407.84131932258606,00:06:47,176422,1410,0.005507437977939844,0.006547839380800724,2.904697365394634,3,0.0004933015320518317,240,1412,237,256,211,170
117,8,436.687787771225,00:07:16,176240,1422,0.005244241561740637,0.006575044244527817,2.7900087503216815,3,0.0004051879086680346,238,1446,219,253,218,191
118,8,414.1746370792389,00:06:54,180881,1369,0.005534605123102665,0.006385437212884426,2.8810275367560116,3,0.0003349583803706768,251,1459,251,247,201,208
119,8,409.97056007385254,00:06:49,183239,1385,0.004765723831951618,0.006499703042209148,2.8953186651168457,3,0.0006229994068007107,249,1421,233,250,222,198
120,8,400.2667090892792,00:06:40,190958,1325,0.00477070827037096,0.006321069318801165,2.9455116411831925,3,0.00048521850773959043,256,1376,241,244,235,206
121,8,483.89654898643494,00:08:03,130067,1401,0.005984574090689421,0.007546081207692623,3.0681602761878617,3,0.0007109234174224638,230,1475,48,232,250,219
122,8,220.6659288406372,00:03:40,183185,576,0.006455422844737768,0.0075102816335856915,2.966470198962139,3,0.0007540383994669344,216,646,238,226,242,201
123,8,420.3928380012512,00:07:00,177862,1217,0.005714199505746365,0.006437595468014479,3.229396345189357,3,0.0005270900878975553,223,1330,228,230,238,192
124,8,463.9749119281769,00:07:43,117264,1385,0.005262855440378189,0.006691934075206518,2.687842630979139,3,0.0008801136587132776,205,1427,248,99,230,187
125,8,474.05921173095703,00:07:54,210959,1363,0.005353768356144428,0.0065456866286695,2.8290210289642204,3,0.0006299207997603396,199,1384,252,256,247,225
126,8,464.8140678405762,00:07:44,168404,1329,0.004831049125641584,0.006634839810431004,2.9333343344031486,3,0.0008053354146800361,190,1363,205,236,215,217
127,8,462.93840742111206,00:07:42,136226,1413,0.0052202073857188225,0.006656504701822996,2.9800404964331406,3,0.0004353012762427561,235,1463,233,214,144,209
128,8,532.3096733093262,00:08:52,179173,1473,0.004742310382425785,0.00679762801155448,2.6996765381238284,3,0.0012126397585788332,215,1500,245,241,224,176
129,8,410.4568772315979,00:06:50,182953,1384,0.004984720144420862,0.0067862109281122684,2.8595546041153246,3,0.001005387870812666,248,1404,212,247,241,198
130,8,550.6218242645264,00:09:10,155977,1401,0.004977868404239416,0.006660877261310816,2.709933528492931,3,0.0005747963145791925,170,1439,226,226,176,229
131,8,469.57194900512695,00:07:49,188422,1481,0.0051471879705786705,0.006497173570096493,2.713371693075555,3,0.0006086528968606138,209,1497,245,238,229,213
132,8,485.7672221660614,00:08:05,187557,1377,0.00457060057669878,0.0063465675339102745,2.6880058989419133,3,0.000696986590169575,211,1453,256,234,220,219
133,8,513.0865035057068,00:08:33,116768,1422,0.005083808675408363,0.0065494622103869915,3.0527608971976044,3,0.0005385299714853821,205,1475,239,222,87,211
134,8,73.37321448326111,00:01:13,203038,203,0.014603178016841412,0.013999355025589466,4.719075634182263,3,0.0006627746747084247,227,212,245,252,251,204
135,8,435.4576783180237,00:07:15,192011,1269,0.005156542640179396,0.0065809632651507854,2.843092535786338,3,0.000750054562144204,222,1420,251,242,236,198
136,8,456.71847462654114,00:07:36,171463,1317,0.005317521747201681,0.006663219071924686,2.7230603427986626,3,0.00029088902662422687,199,1345,222,238,208,215
137,8,460.3691177368164,00:07:40,176854,1336,0.0055363657884299755,0.006252587307244539,2.9222088195640326,3,0.0006105886287669123,213,1380,241,218,245,182
138,8,450.1916217803955,00:07:30,80582,1393,0.00639607198536396,0.00775194214656949,3.0555495181141485,3,0.0005030811667109412,242,1500,231,18,228,207
139,8,453.19555258750916,00:07:33,199828,1393,0.004767211154103279,0.006466319784522057,2.5958056209120794,3,0.0008583457935828522,231,1466,235,248,239,236
140,8,410.3654556274414,00:06:50,199054,1349,0.0047491248697042465,0.006718822289258242,2.7410964578947756,3,0.0009396267654773695,232,1402,217,247,252,235
141,8,455.30076813697815,00:07:35,186530,1444,0.0045052869245409966,0.006506787613034248,2.6201783813778707,3,0.0007814876580952942,228,1472,237,231,234,221
142,8,476.14075541496277,00:07:56,189853,1427,0.0073632593266665936,0.007601022254675627,3.505898478659027,3,0.0008406107494503804,227,1464,236,231,241,223
143,8,425.1048445701599,00:07:05,202009,1161,0.005383551120758057,0.006501396652311087,2.6157439930716024,3,0.0007530095951488635,238,1433,250,250,234,229
144,8,416.4448084831238,00:06:56,124467,1395,0.0060782418586313725,0.008047126233577728,3.0583430734342922,3,0.000775606371147086,245,1434,24,253,235,235
145,8,440.21954369544983,00:07:20,197809,1406,0.004776248708367348,0.006541977170854807,2.7644663040541326,3,0.0009551292526559384,239,1473,249,245,222,248
146,8,418.7254948616028,00:06:58,210883,1135,0.005999105051159859,0.006545554380863905,3.022610197372502,3,0.0008512165274318316,234,1441,256,251,247,229
147,8,433.40795850753784,00:07:13,199532,1385,0.00468080909922719,0.006283241789788008,2.6965916477894503,3,0.0006781176767375019,221,1422,241,256,233,222
148,8,437.1916534900665,00:07:17,192173,1256,0.008089198730885983,0.007765081245452166,3.7219582848170307,3,0.0010492592481716838,227,1365,235,243,237,218
149,8,251.7857346534729,00:04:11,192464,846,0.005859680473804474,0.007092674262821674,3.0024202786631666,3,0.0007806449534020044,231,863,250,249,216,227
